last_name,first_name,middle_name,full_name,gender,type,state,party,url,address,phone,twitter,facebook,youtube,youtube_id
Higgins,Brian,M.,Brian Higgins,M,rep,NY,Democrat,https://higgins.house.gov,2459 Rayburn House Office Building Washington DC 20515-3226,202-225-3306,RepBrianHiggins,RepBrianHiggins,CongressmanHiggins,UCSGbv85HaaYYOrPGePtxwag
Himes,James,A.,James A. Himes,M,rep,CT,Democrat,https://himes.house.gov,1227 Longworth House Office Building Washington DC 20515-0704,202-225-5541,JAHimes,CongressmanJimHimes,congressmanhimes,UCCeB6czh6nhCHxOMCk_V4yA
Hirono,Mazie,K.,Mazie K. Hirono,F,sen,HI,Democrat,https://www.hirono.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-6361,MazieHirono,senatorhirono,CongresswomanHirono,UCcoKhxad156flzPYJ8JMFOA
Hoeven,John,,John Hoeven,M,sen,ND,Republican,https://www.hoeven.senate.gov,338 Russell Senate Office Building Washington DC 20510,202-224-2551,SenJohnHoeven,SenatorJohnHoeven,senatorjohnhoevennd,UC1kQIC2Q_Fq9_NRqdb6eHiw
Hoyer,Steny,H.,Steny H. Hoyer,M,rep,MD,Democrat,https://hoyer.house.gov,1705 Longworth House Office Building Washington DC 20515-2005,202-225-4131,LeaderHoyer,WhipHoyer,LeaderHoyer,UCvxgqX65cdhHNjJn64cgY9g
Huizenga,Bill,,Bill Huizenga,M,rep,MI,Republican,https://huizenga.house.gov,2232 Rayburn House Office Building Washington DC 20515-2202,202-225-4401,RepHuizenga,RepHuizenga,RepHuizenga,UCQPlLLiMnysMmeJ5qUSSjQg
Jackson Lee,Sheila,,Sheila Jackson Lee,F,rep,TX,Democrat,https://jacksonlee.house.gov,2079 Rayburn House Office Building Washington DC 20515-4318,202-225-3816,JacksonLeeTX18,CongresswomanSheilaJacksonLee,TX18SJL,UCi_S-mOZaEco2Zb9guf_8Iw
Johnson,Bill,,Bill Johnson,M,rep,OH,Republican,https://billjohnson.house.gov,2336 Rayburn House Office Building Washington DC 20515-3506,202-225-5705,RepBillJohnson,RepBillJohnson,RepBillJohnson,UCtF08Ay71haDRoJosRN2P_Q
Johnson,Eddie,Bernice,Eddie Bernice Johnson,F,rep,TX,Democrat,https://ebjohnson.house.gov,2306 Rayburn House Office Building Washington DC 20515-4330,202-225-8885,RepEBJ,CongresswomanEBJtx30,RepEddieBJohnson,UCVKp8BtjW708H4eXJJQgUYw
Johnson,Henry,C.,"Henry C. ""Hank"" Johnson, Jr.",M,rep,GA,Democrat,https://hankjohnson.house.gov,2240 Rayburn House Office Building Washington DC 20515-1004,202-225-1605,RepHankJohnson,1.15357E+11,RepHankJohnson,UCqMici9I7nz_i-PN7eSYjwQ
Johnson,Ron,,Ron Johnson,M,sen,WI,Republican,https://www.ronjohnson.senate.gov,328 Hart Senate Office Building Washington DC 20510,202-224-5323,SenRonJohnson,senronjohnson,SenatorRonJohnson,UCG9XyTVtOAs7VX_q_QVHoaw
Jordan,Jim,,Jim Jordan,M,rep,OH,Republican,https://jordan.house.gov,2056 Rayburn House Office Building Washington DC 20515-3504,202-225-2676,Jim_Jordan,repjimjordan,RepJimJordan,UCPFBhS00ivPV585GlnNlyqA
Kaptur,Marcy,,Marcy Kaptur,F,rep,OH,Democrat,https://kaptur.house.gov,2186 Rayburn House Office Building Washington DC 20515-3509,202-225-4146,RepMarcyKaptur,RepresentativeMarcyKaptur,USRepMarcyKaptur,UCIJUNf22o09nO02oQPLKQ6w
Keating,William,R.,William R. Keating,M,rep,MA,Democrat,https://keating.house.gov,2351 Rayburn House Office Building Washington DC 20515-2109,202-225-3111,USRepKeating,Congressman.Keating,RepBillKeating,UC7KPV4xdxO2dms9vl6tETmg
Kelly,Mike,,Mike Kelly,M,rep,PA,Republican,https://kelly.house.gov,1707 Longworth House Office Building Washington DC 20515-3816,202-225-5406,MikeKellyPA,1.91057E+14,repmikekelly,UCoz6u3ooQxoijsWvhoQ0D-A
Kind,Ron,James,Ron Kind,M,rep,WI,Democrat,https://kind.house.gov,1502 Longworth House Office Building Washington DC 20515-4903,202-225-5506,RepRonKind,repronkind,RepRonKind,UC0_BilariURHwSHf9baGykg
King,Peter,T.,Peter T. King,M,rep,NY,Republican,https://peteking.house.gov,302 Cannon House Office Building Washington DC 20515-3202,202-225-7896,RepPeteKing,,RepPeterKing,UCbyQC19DsAq01oDBfZn_diw
King,Steve,A.,Steve King,M,rep,IA,Republican,https://steveking.house.gov,2210 Rayburn House Office Building Washington DC 20515-1504,202-225-4426,SteveKingIA,stevekingia,stevekingia,UCvdJ--cxsVyght3ZDise0mw
Kinzinger,Adam,,Adam Kinzinger,M,rep,IL,Republican,https://kinzinger.house.gov,2245 Rayburn House Office Building Washington DC 20515-1316,202-225-3635,RepKinzinger,RepKinzinger,RepAdamKinzinger,UCjDHxyjndxxhjuPWyEBc7UA
Lamborn,Doug,,Doug Lamborn,M,rep,CO,Republican,https://lamborn.house.gov,2371 Rayburn House Office Building Washington DC 20515-0605,202-225-4422,RepDLamborn,CongressmanDougLamborn,CongressmanLamborn,UCaYsGYMniq4nwBBMKFIwsow
Langevin,James,R.,James R. Langevin,M,rep,RI,Democrat,https://langevin.house.gov,2077 Rayburn House Office Building Washington DC 20515-3902,202-225-2735,JimLangevin,CongressmanJimLangevin,jimlangevin,UCQ1sth-7umw1k-fSVqdfRTg
Lankford,James,,James Lankford,M,sen,OK,Republican,https://www.lankford.senate.gov,316 Hart Senate Office Building Washington DC 20510,202-224-5754,SenatorLankford,SenatorLankford,SenatorLankford,UCz8T6sK5fEycyWmVz6Vpe5Q
Larsen,Rick,,Rick Larsen,M,rep,WA,Democrat,https://larsen.house.gov,2113 Rayburn House Office Building Washington DC 20515-4702,202-225-2605,RepRickLarsen,RepRickLarsen,congressmanlarsen,UCMv7LsJtiyO4AJcbRux5CxQ
Larson,John,B.,John B. Larson,M,rep,CT,Democrat,https://larson.house.gov,1501 Longworth House Office Building Washington DC 20515-0701,202-225-2265,RepJohnLarson,RepJohnLarson,RepJohnLarson,UCGPsvFF-9WfpdRSCcCrPLiQ
Latta,Robert,E.,Robert E. Latta,M,rep,OH,Republican,https://latta.house.gov,2467 Rayburn House Office Building Washington DC 20515-3505,202-225-6405,BobLatta,boblatta,CongressmanBobLatta,UCVSBVHoWu-eWnBBQaMKZ_sQ
Leahy,Patrick,J.,Patrick J. Leahy,M,sen,VT,Democrat,https://www.leahy.senate.gov,437 Russell Senate Office Building Washington DC 20510,202-224-4242,SenatorLeahy,SenatorPatrickLeahy,SenatorPatrickLeahy,UC46QHVobf7FO-tWehsRoDog
Lee,Barbara,,Barbara Lee,F,rep,CA,Democrat,https://lee.house.gov,2470 Rayburn House Office Building Washington DC 20515-0513,202-225-2661,RepBarbaraLee,RepBarbaraLee,RepLee,UCnRgK2MXAQOUau0JXqseeNA
Lee,Mike,,Mike Lee,M,sen,UT,Republican,https://www.lee.senate.gov/public,361A Russell Senate Office Building Washington DC 20510,202-224-5444,SenMikeLee,senatormikelee,senatormikelee,UCplVxs_j_sLAt0fkplXcl4A
Lipinski,Daniel,William,Daniel Lipinski,M,rep,IL,Democrat,https://lipinski.house.gov,2346 Rayburn House Office Building Washington DC 20515-1303,202-225-5701,RepLipinski,repdanlipinski,lipinski03,UC4-dyxzIODTMk1-12QPEpoQ
Loebsack,David,,David Loebsack,M,rep,IA,Democrat,https://loebsack.house.gov,1211 Longworth House Office Building Washington DC 20515-1502,202-225-6576,DaveLoebsack,DaveLoebsack,congressmanloebsack,UC0biZWEJAKHctxbmXfXJnOg
Lofgren,Zoe,,Zoe Lofgren,F,rep,CA,Democrat,https://lofgren.house.gov,1401 Longworth House Office Building Washington DC 20515-0519,202-225-3072,RepZoeLofgren,zoelofgren,RepZoeLofgren,UCOaQ79adORFcaTuJZoIFuZQ
Long,Billy,,Billy Long,M,rep,MO,Republican,https://long.house.gov,2454 Rayburn House Office Building Washington DC 20515-2507,202-225-6536,USRepLong,Rep.Billy.Long,MOdistrict7,UCLQcbyxpHXXAsUJckscQY8g
Lowey,Nita,M.,Nita M. Lowey,F,rep,NY,Democrat,https://lowey.house.gov,2365 Rayburn House Office Building Washington DC 20515-3217,202-225-6506,NitaLowey,RepLowey,nitalowey,UCkmeBYqhbomcWNNWzQCqcbg
Lucas,Frank,D.,Frank D. Lucas,M,rep,OK,Republican,https://lucas.house.gov,2405 Rayburn House Office Building Washington DC 20515-3603,202-225-5565,RepFrankLucas,RepFrankLucas,RepFrankLucas,UCdYZbKY8pkWAThqwC3fdVMg
Luetkemeyer,Blaine,,Blaine Luetkemeyer,M,rep,MO,Republican,https://luetkemeyer.house.gov,2230 Rayburn House Office Building Washington DC 20515-2503,202-225-2956,RepBlaine,BlaineLuetkemeyer,BLuetkemeyer,UCifiiQclKbBBrkSbCnN6REg
Luján,Ben,Ray,Ben Ray Luján,M,rep,NM,Democrat,https://lujan.house.gov,2323 Rayburn House Office Building Washington DC 20515-3103,202-225-6190,RepBenRayLujan,RepBenRayLujan,Repbenraylujan,UCcO5AmF8HuJo4d0awEbst7Q
Lynch,Stephen,F.,Stephen F. Lynch,M,rep,MA,Democrat,https://lynch.house.gov,2109 Rayburn House Office Building Washington DC 20515-2108,202-225-8273,RepStephenLynch,repstephenlynch,RepLynch,UCxL4zG0YWqC5XTO4af_FOgw
Maloney,Carolyn,B.,Carolyn B. Maloney,F,rep,NY,Democrat,https://maloney.house.gov,2308 Rayburn House Office Building Washington DC 20515-3212,202-225-7944,RepMaloney,RepCarolynMaloney,carolynbmaloney,
Marchant,Kenny,Ewell,Kenny Marchant,M,rep,TX,Republican,https://marchant.house.gov,2304 Rayburn House Office Building Washington DC 20515-4324,202-225-6605,RepKenMarchant,RepKennyMarchant,RepKennyMarchant,UCQpnTMp5TdTRWEes8cjIfyQ
Markey,Edward,J.,Edward J. Markey,M,sen,MA,Democrat,https://www.markey.senate.gov,255 Dirksen Senate Office Building Washington DC 20510,202-224-2742,SenMarkey,EdJMarkey,RepMarkey,UCT1ujew5yQy2uMhGrjiKHoA
Matsui,Doris,O.,Doris O. Matsui,F,rep,CA,Democrat,https://matsui.house.gov,2311 Rayburn House Office Building Washington DC 20515-0506,202-225-7163,DorisMatsui,doris.matsui,RepDorisMatsui,UCSqqxVkvskHq3cY2MCbTZsw
McCarthy,Kevin,,Kevin McCarthy,M,rep,CA,Republican,https://kevinmccarthy.house.gov,2468 Rayburn House Office Building Washington DC 20515-0523,202-225-2915,GOPLeader,CongressmanKevinMcCarthy,repkevinmccarthy,UCdJUZUFSLJRlUpE-91-6DsA
McCaul,Michael,T.,Michael T. McCaul,M,rep,TX,Republican,https://mccaul.house.gov,2001 Rayburn House Office Building Washington DC 20515-4310,202-225-2401,RepMcCaul,michaeltmccaul,MichaelTMcCaul,UCRw6sGE0PH7_FCeTT3PQRaA
McClintock,Tom,,Tom McClintock,M,rep,CA,Republican,https://mcclintock.house.gov,2312 Rayburn House Office Building Washington DC 20515-0504,202-225-2511,RepMcClintock,81125319109,McClintockCA04,UCMh04KC4LfIzKoXh2Xws_pw
McCollum,Betty,Louise,Betty McCollum,F,rep,MN,Democrat,https://mccollum.house.gov,2256 Rayburn House Office Building Washington DC 20515-2304,202-225-6631,BettyMcCollum04,repbettymccollum,BMcCollum04,UC3sZJSdiZo2EBHbsOlsnI7A
McGovern,James,P.,James P. McGovern,M,rep,MA,Democrat,https://mcgovern.house.gov,408 Cannon House Office Building Washington DC 20515-2102,202-225-6101,RepMcGovern,RepJimMcGovern,repjimmcgovern,UCpiUqp2ZF64tXqgR_EQo27g
McHenry,Patrick,T.,Patrick T. McHenry,M,rep,NC,Republican,https://mchenry.house.gov,2004 Rayburn House Office Building Washington DC 20515-3310,202-225-2576,PatrickMcHenry,CongressmanMcHenry,CongressmanMcHenry,UCY3PTRhkSH-eoltxPVZKD-w
McKinley,David,B.,David B. McKinley,M,rep,WV,Republican,https://mckinley.house.gov,2239 Rayburn House Office Building Washington DC 20515-4801,202-225-4172,RepMcKinley,RepMcKinley,RepDavidMcKinley,UCt7BWx4b8ubXa-PneAu103g
McMorris Rodgers,Cathy,,Cathy McMorris Rodgers,F,rep,WA,Republican,https://mcmorris.house.gov,1035 Longworth House Office Building Washington DC 20515-4705,202-225-2006,CathyMcMorris,mcmorrisrodgers,mcmorrisrodgers,UCRp0lwIxAhq2Ia9_YgRWUkg
McNerney,Jerry,,Jerry McNerney,M,rep,CA,Democrat,https://mcnerney.house.gov,2265 Rayburn House Office Building Washington DC 20515-0509,202-225-1947,RepMcNerney,jerrymcnerney,RepJerryMcNerney,UClUOx6F8GKshxGBUBLkisug
Meeks,Gregory,W.,Gregory W. Meeks,M,rep,NY,Democrat,https://meeks.house.gov,2310 Rayburn House Office Building Washington DC 20515-3205,202-225-3461,RepGregoryMeeks,gregorymeeksny05,gwmeeks,UCljJnwgQS6Z6-NypDyqKJZQ
Moore,Gwen,,Gwen Moore,F,rep,WI,Democrat,https://gwenmoore.house.gov,2252 Rayburn House Office Building Washington DC 20515-4904,202-225-4572,RepGwenMoore,GwenSMoore,RepGwenMoore,UCCs9o1XaSsCsqNpO0iO0_Ew
Moran,Jerry,,Jerry Moran,M,sen,KS,Republican,https://www.moran.senate.gov,521 Dirksen Senate Office Building Washington DC 20510,202-224-6521,JerryMoran,jerrymoran,senatorjerrymoran,UC1oRxeUPam6-53wPBZ3N02A
Murkowski,Lisa,A.,Lisa Murkowski,F,sen,AK,Republican,https://www.murkowski.senate.gov,522 Hart Senate Office Building Washington DC 20510,202-224-6665,LisaMurkowski,SenLisaMurkowski,senatormurkowski,UCaigku16AErqvD0wRuwGb9A
Murphy,Christopher,S.,Christopher Murphy,M,sen,CT,Democrat,https://www.murphy.senate.gov,136 Hart Senate Office Building Washington DC 20510,202-224-4041,senmurphyoffice,chrismurphyct,senchrismurphy,UCbcEa40PIFpLpdDe06n3F3Q
Murray,Patty,,Patty Murray,F,sen,WA,Democrat,https://www.murray.senate.gov/public,154 Russell Senate Office Building Washington DC 20510,202-224-2621,PattyMurray,,SenatorPattyMurray,UCb8jq3TvQ3AzKsexhWfFLoA
Nadler,Jerrold,L.,Jerrold Nadler,M,rep,NY,Democrat,https://nadler.house.gov,2132 Rayburn House Office Building Washington DC 20515-3210,202-225-5635,RepJerryNadler,CongressmanNadler,congressmannadler,UCQKj0qU1e7o2f5ftSh-c9aQ
Napolitano,Grace,F.,Grace F. Napolitano,F,rep,CA,Democrat,https://napolitano.house.gov,1610 Longworth House Office Building Washington DC 20515-0532,202-225-5256,GraceNapolitano,RepGraceNapolitano,RepGraceNapolitano,UCPWjmiAIR04oQ8QMoOWcDtA
Neal,Richard,E.,Richard E. Neal,M,rep,MA,Democrat,https://neal.house.gov,2309 Rayburn House Office Building Washington DC 20515-2101,202-225-5601,RepRichardNeal,reprichardneal,RepRichardENeal,UCZVtTydu0-MSK6G12GaKA4g
Norton,Eleanor,Holmes,Eleanor Holmes Norton,F,rep,DC,Democrat,https://norton.house.gov,2136 Rayburn House Office Building Washington DC 20515-5101,202-225-8050,EleanorNorton,CongresswomanNorton,EleanorHNorton,UChRrAXUGylfxJjbquC6aUjQ
Nunes,Devin,G.,Devin Nunes,M,rep,CA,Republican,https://nunes.house.gov,1013 Longworth House Office Building Washington DC 20515-0522,202-225-2523,RepDevinNunes,,RepDevinNunes,UCtbArL6CmOfFqgmpuRjLp3w
Olson,Pete,,Pete Olson,M,rep,TX,Republican,https://olson.house.gov,2133 Rayburn House Office Building Washington DC 20515-4322,202-225-5951,RepPeteOlson,Rep.PeteOlson,,
Palazzo,Steven,M.,Steven M. Palazzo,M,rep,MS,Republican,https://palazzo.house.gov,2349 Rayburn House Office Building Washington DC 20515-2404,202-225-5772,CongPalazzo,stevenpalazzo,CongressmanPalazzo,UCtPOy2vRbN2nD8dQPSOTXeA
Pallone,Frank,J.,"Frank Pallone, Jr.",M,rep,NJ,Democrat,https://pallone.house.gov,2107 Rayburn House Office Building Washington DC 20515-3006,202-225-4671,FrankPallone,repfrankpallone,repfrankpallone,UCN0_wn9hs1LI3UKkji2PP2A
Pascrell,Bill,J.,"Bill Pascrell, Jr.",M,rep,NJ,Democrat,https://pascrell.house.gov,2409 Rayburn House Office Building Washington DC 20515-3009,202-225-5751,BillPascrell,pascrell,RepPascrell,UCIy1Ru8oA14aRjpq6L3i-EQ
Paul,Rand,,Rand Paul,M,sen,KY,Republican,https://www.paul.senate.gov,167 Russell Senate Office Building Washington DC 20510,202-224-4343,RandPaul,SenatorRandPaul,SenatorRandPaul,UCeM9I-20oWUs8daIIpsNHoQ
Pelosi,Nancy,,Nancy Pelosi,F,rep,CA,Democrat,https://pelosi.house.gov,1236 Longworth House Office Building Washington DC 20515-0512,202-225-4965,SpeakerPelosi,NancyPelosi,nancypelosi,UCxPeEcH0xaCK9nBK98EFhDg
Perlmutter,Ed,,Ed Perlmutter,M,rep,CO,Democrat,https://perlmutter.house.gov,1226 Longworth House Office Building Washington DC 20515-0607,202-225-2645,RepPerlmutter,RepPerlmutter,RepPerlmutter,UCJXuMAzxngpEvDdvlE6wS5g
Peters,Gary,C.,Gary C. Peters,M,sen,MI,Democrat,https://www.peters.senate.gov,724 Hart Senate Office Building Washington DC 20510,202-224-6221,SenGaryPeters,SenGaryPeters,RepGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ
Peterson,Collin,Clark,Collin C. Peterson,M,rep,MN,Democrat,https://collinpeterson.house.gov,2204 Rayburn House Office Building Washington DC 20515-2307,202-225-2165,,,,
Pingree,Chellie,,Chellie Pingree,F,rep,ME,Democrat,https://pingree.house.gov,2162 Rayburn House Office Building Washington DC 20515-1901,202-225-6116,ChelliePingree,ChelliePingree,congresswomanpingree,UCLKaWFM7I84WcreDRhhhkVg
Portman,Robert,J.,Rob Portman,M,sen,OH,Republican,https://www.portman.senate.gov,448 Russell Senate Office Building Washington DC 20510,202-224-3353,SenRobPortman,senrobportman,SenRobPortman,UCwunkd8Zs-yAWKQwnwBp7ew
Posey,Bill,,Bill Posey,M,rep,FL,Republican,https://posey.house.gov,2150 Rayburn House Office Building Washington DC 20515-0908,202-225-3671,CongBillPosey,bill.posey15,CongressmanPosey,UCoUwUkDpe1ZYd6tiaZfiMuA
Price,David,E.,David E. Price,M,rep,NC,Democrat,https://price.house.gov,2108 Rayburn House Office Building Washington DC 20515-3304,202-225-1784,RepDavidEPrice,RepDavidEPrice,RepDavidPrice,UCtX7bSXBLF9ge-Q955n5Vqw
Quigley,Mike,,Mike Quigley,M,rep,IL,Democrat,https://quigley.house.gov,2458 Rayburn House Office Building Washington DC 20515-1305,202-225-4061,RepMikeQuigley,repmikequigley,RepMikeQuigley,UCDP13XegdoZ4bxYHxM34yAA
Reed,Tom,W.,Tom Reed,M,rep,NY,Republican,https://reed.house.gov,2263 Rayburn House Office Building Washington DC 20515-3223,202-225-3161,RepTomReed,RepTomReed,CongressmanTomReed,UC-HFEKIHC7ydVUkxkZOLqTg
Richmond,Cedric,L.,Cedric L. Richmond,M,rep,LA,Democrat,https://richmond.house.gov,506 Cannon House Office Building Washington DC 20515-1802,202-225-6636,RepRichmond,RepRichmond,RepCedricRichmond,UCsB66Dq8sCGwr5K3g1kqTrA
Roby,Martha,,Martha Roby,F,rep,AL,Republican,https://roby.house.gov,504 Cannon House Office Building Washington DC 20515-0102,202-225-2901,RepMarthaRoby,Representative.Martha.Roby,reproby,UCeAWQdcSTlwv2vDGz0TQOxQ
Roe,David,P.,David P. Roe,M,rep,TN,Republican,https://roe.house.gov,102 Cannon House Office Building Washington DC 20515-4201,202-225-6356,DrPhilRoe,DrPhilRoe,drphilroe,UC8muYurPSNO8x2Qqk40mVOA
Rogers,Harold,,Harold Rogers,M,rep,KY,Republican,https://halrogers.house.gov,2406 Rayburn House Office Building Washington DC 20515-1705,202-225-4601,RepHalRogers,CongressmanHalRogers,RepHalRogers,UChVFKLZkRoHQDhp4zNvEezQ
Rogers,Mike,,Mike Rogers,M,rep,AL,Republican,https://mikerogers.house.gov,2184 Rayburn House Office Building Washington DC 20515-0103,202-225-3261,RepMikeRogersAL,CongressmanMikeDRogers,MikeRogersAL03,UCH-WUWuY0_dlKwJDSqKTJsg
Roybal-Allard,Lucille,,Lucille Roybal-Allard,F,rep,CA,Democrat,https://roybal-allard.house.gov,2083 Rayburn House Office Building Washington DC 20515-0540,202-225-1766,RepRoybalAllard,RepRoybalAllard,RepRoybalAllard,UC_T_RXWeJ-smmpjdNLOaMcg
Rubio,Marco,,Marco Rubio,M,sen,FL,Republican,https://www.rubio.senate.gov,284 Russell Senate Office Building Washington DC 20510,202-224-3041,SenRubioPress,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg
Ruppersberger,C.,A. Dutch,C. A. Dutch Ruppersberger,M,rep,MD,Democrat,https://ruppersberger.house.gov,2206 Rayburn House Office Building Washington DC 20515-2002,202-225-3061,Call_Me_Dutch,DutchRupp,ruppersberger,UCk2S9iSHNpo1E1A7qZ0SPIw
Rush,Bobby,L.,Bobby L. Rush,M,rep,IL,Democrat,https://rush.house.gov,2188 Rayburn House Office Building Washington DC 20515-1301,202-225-4372,RepBobbyRush,congressmanbobbyrush,CongressmanRush,UCbWqxBnS_w_uFTdQAL0YH5g
Ryan,Tim,J.,Tim Ryan,M,rep,OH,Democrat,https://timryan.house.gov,1126 Longworth House Office Building Washington DC 20515-3513,202-225-5261,RepTimRyan,timryan,timryanvision,UCjAFlYCheFKjGg_Pxc2VOFA
Sablan,Gregorio,Kilili Camacho,Gregorio Kilili Camacho Sablan,M,rep,MP,Democrat,https://sablan.house.gov,2411 Rayburn House Office Building Washington DC 20515-5201,202-225-2646,Kilili_Sablan,1.53424E+11,CongressmanSablan,UC-fbzxBSiC98eAE2goaANVQ
Sarbanes,John,P.,John P. Sarbanes,M,rep,MD,Democrat,https://sarbanes.house.gov,2370 Rayburn House Office Building Washington DC 20515-2003,202-225-4016,RepSarbanes,RepSarbanes,RepJohnSarbanes,UCCypi0IDTr-XxlAXsJCdBZQ
Scalise,Steve,Joseph,Steve Scalise,M,rep,LA,Republican,https://scalise.house.gov,2049 Rayburn House Office Building Washington DC 20515-1801,202-225-3015,SteveScalise,RepSteveScalise,RepSteveScalise,UCmYveHBVXVBRxl7GiCL-gjw
Schakowsky,Janice,D.,Janice D. Schakowsky,F,rep,IL,Democrat,https://schakowsky.house.gov,2367 Rayburn House Office Building Washington DC 20515-1309,202-225-2111,JanSchakowsky,janschakowsky,repschakowsky,UCuCHHPSENUEaaeH8n_CYDXQ
Schiff,Adam,B.,Adam B. Schiff,M,rep,CA,Democrat,https://schiff.house.gov,2269 Rayburn House Office Building Washington DC 20515-0528,202-225-4176,RepAdamSchiff,RepAdamSchiff,adamschiff,UCadiUi-KZoFk1K5ZDsluLcA
Schrader,Kurt,,Kurt Schrader,M,rep,OR,Democrat,https://schrader.house.gov,2431 Rayburn House Office Building Washington DC 20515-3705,202-225-5711,RepSchrader,repschrader,repkurtschrader,UCrWRXVaGJtcImc_kknuDsAw
Schumer,Charles,E.,Charles E. Schumer,M,sen,NY,Democrat,https://www.schumer.senate.gov,322 Hart Senate Office Building Washington DC 20510,202-224-6542,SenSchumer,senschumer,SenatorSchumer,UC-ABttxh8uQv_10qmwGaidw
Schweikert,David,,David Schweikert,M,rep,AZ,Republican,https://schweikert.house.gov,1526 Longworth House Office Building Washington DC 20515-0306,202-225-2190,RepDavid,repdavidschweikert,RepDavidSchweikert,UCVvuNVzkOUp7p_Pzkc6Zuvw
Scott,Austin,,Austin Scott,M,rep,GA,Republican,https://austinscott.house.gov,2417 Rayburn House Office Building Washington DC 20515-1008,202-225-6531,AustinScottGA08,RepAustinScott,RepAustinScott,UC5M7eKHKQStktMyjieiHYZQ
Scott,David,,David Scott,M,rep,GA,Democrat,https://davidscott.house.gov,225 Cannon House Office Building Washington DC 20515-1013,202-225-2939,RepDavidScott,1.13304E+11,RepDavidScott,UCgf28zRkLSqAUiPuJhGdF0w
Scott,Robert,C.,"Robert C. ""Bobby"" Scott",M,rep,VA,Democrat,https://bobbyscott.house.gov,1201 Longworth House Office Building Washington DC 20515-4603,202-225-8351,BobbyScott,RepBobbyScott,repbobbyscott,UCdNNcpw8arCsUp55JwK_QAA
Scott,Tim,,Tim Scott,M,sen,SC,Republican,https://www.scott.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-6121,SenatorTimScott,SenatorTimScott,SenatorTimScott,UCSfAsbG80CNInSKrtpKoL-w
Sensenbrenner,F.,James,"F. James Sensenbrenner, Jr.",M,rep,WI,Republican,https://sensenbrenner.house.gov,2449 Rayburn House Office Building Washington DC 20515-4905,202-225-5101,JimPressOffice,RepSensenbrenner,RepSensenbrenner,UCUNfNsc2CVsqivJ2wThQF6A
Serrano,José,E.,José E. Serrano,M,rep,NY,Democrat,https://serrano.house.gov,2354 Rayburn House Office Building Washington DC 20515-3215,202-225-4361,RepJoseSerrano,RepJoseSerrano,,
Sewell,Terri,A.,Terri A. Sewell,F,rep,AL,Democrat,https://sewell.house.gov,2201 Rayburn House Office Building Washington DC 20515-0107,202-225-2665,RepTerriSewell,RepSewell,RepSewell,UCHkEHtfrfUWOFtbUFQTQH7Q
Shelby,Richard,C.,Richard C. Shelby,M,sen,AL,Republican,https://www.shelby.senate.gov,304 Russell Senate Office Building Washington DC 20510,202-224-5744,SenShelby,RichardShelby,SenatorRichardShelby,UCyMzDCRZrmhr_OGDjVuAeJw
Sherman,Brad,J.,Brad Sherman,M,rep,CA,Democrat,https://sherman.house.gov,2181 Rayburn House Office Building Washington DC 20515-0530,202-225-5911,BradSherman,63158229861,shermanca27,UCPisrz6-SLwVy2l9Mcy8kug
Shimkus,John,M.,John Shimkus,M,rep,IL,Republican,https://shimkus.house.gov,2217 Rayburn House Office Building Washington DC 20515-1315,202-225-5271,RepShimkus,repshimkus,repshimkus,UCVXSvuk-csQRKBI0oPzcEnw
Simpson,Michael,K.,Michael K. Simpson,M,rep,ID,Republican,https://simpson.house.gov,2084 Rayburn House Office Building Washington DC 20515-1202,202-225-5531,CongMikeSimpson,96007744606,CongMikeSimpson,UCNXe0rJJeULTAP_7oyQNw8g
Sires,Albio,,Albio Sires,M,rep,NJ,Democrat,https://sires.house.gov,2268 Rayburn House Office Building Washington DC 20515-3008,202-225-7919,RepSires,81058818750,RepSiresNJ13,UCfdEcWPNGoIxpYoTANF4PBA
Smith,Adam,,Adam Smith,M,rep,WA,Democrat,https://adamsmith.house.gov,2264 Rayburn House Office Building Washington DC 20515-4709,202-225-8901,RepAdamSmith,RepAdamSmith,CongressmanAdamSmith,UCcrHso483LOfC6WwDnzAh-g
Smith,Adrian,,Adrian Smith,M,rep,NE,Republican,https://adriansmith.house.gov,502 Cannon House Office Building Washington DC 20515-2703,202-225-6435,RepAdrianSmith,,RepAdrianSmith,UCIgn2z-hwxx_aeggnyhv54Q
Smith,Christopher,H.,Christopher H. Smith,M,rep,NJ,Republican,https://chrissmith.house.gov,2373 Rayburn House Office Building Washington DC 20515-3004,202-225-3765,RepChrisSmith,RepChrisSmith,USRepChrisSmith,UCtCNUDo3-I1gsd_03ppDfZg
Speier,Jackie,,Jackie Speier,F,rep,CA,Democrat,https://speier.house.gov,2465 Rayburn House Office Building Washington DC 20515-0514,202-225-3531,RepSpeier,JackieSpeier,jackiespeierca12,UCevmyTb0HSO8irVaR2gYyoA
Stivers,Steve,,Steve Stivers,M,rep,OH,Republican,https://stivers.house.gov,2234 Rayburn House Office Building Washington DC 20515-3515,202-225-2015,RepSteveStivers,1.16058E+14,RepSteveStivers,UCfZrE20pIcR-LeFUV7r2Ixw
