last_name,first_name,full_name,birthday,gender,type,state,party,url
Kennedy,Joseph,Joseph P. Kennedy III,10/4/1980,M,rep,MA,Democrat,https://kennedy.house.gov
King,Angus,Angus S. King,3/31/1944,M,sen,ME,https://www.king.senate.gov,
Kildee,Daniel,Daniel T. Kildee,8/11/1958,M,rep,MI,Democrat,https://dankildee.house.gov
Wagner,Ann,Ann Wagner,9/13/1962,F,rep,MO,Republican,https://wagner.house.gov
Daines,Steve,Steve Daines,8/20/1962,M,sen,MT,https://www.daines.senate.gov,
Hudson,Richard,Richard Hudson,11/4/1971,M,rep,NC,Republican,https://hudson.house.gov
Holding,George,George Holding,4/17/1968,M,rep,NC,Republican,https://holding.house.gov
Cramer,Kevin,Kevin Cramer,1/21/1961,M,sen,ND,https://www.cramer.senate.gov,
Fischer,Deb,Deb Fischer,3/1/1951,F,sen,NE,https://www.fischer.senate.gov,
Kuster,Ann,Ann M. Kuster,9/5/1956,F,rep,NH,Democrat,https://kuster.house.gov
Meng,Grace,Grace Meng,10/1/1975,F,rep,NY,Democrat,https://meng.house.gov
Jeffries,Hakeem,Hakeem S. Jeffries,8/4/1970,M,rep,NY,Democrat,https://jeffries.house.gov
Maloney,Sean,Sean Patrick Maloney,7/30/1966,M,rep,NY,Democrat,https://seanmaloney.house.gov
Wenstrup,Brad,Brad R. Wenstrup,6/17/1958,M,rep,OH,Republican,https://wenstrup.house.gov
Beatty,Joyce,Joyce Beatty,3/12/1950,F,rep,OH,Democrat,https://beatty.house.gov
Joyce,David,David P. Joyce,3/17/1957,M,rep,OH,Republican,https://joyce.house.gov
Mullin,Markwayne,Markwayne Mullin,7/26/1977,M,rep,OK,Republican,https://mullin.house.gov
Perry,Scott,Scott Perry,5/27/1962,M,rep,PA,Republican,https://perry.house.gov
Cartwright,Matthew,Matt Cartwright,5/1/1961,M,rep,PA,Democrat,https://cartwright.house.gov
Rice,Tom,Tom Rice,8/4/1957,M,rep,SC,Republican,https://rice.house.gov
Cruz,Ted,Ted Cruz,12/22/1970,M,sen,TX,https://www.cruz.senate.gov,
Weber,Randy,Randy K. Weber,7/2/1953,M,rep,TX,Republican,https://weber.house.gov
Castro,Joaquin,Joaquin Castro,9/16/1974,M,rep,TX,Democrat,https://castro.house.gov
Williams,Roger,Roger Williams,9/13/1949,M,rep,TX,Republican,https://williams.house.gov
Veasey,Marc,Marc A. Veasey,1/3/1971,M,rep,TX,Democrat,https://veasey.house.gov
Vela,Filemon,Filemon Vela,2/13/1963,M,rep,TX,Democrat,https://vela.house.gov
Stewart,Chris,Chris Stewart,7/15/1960,M,rep,UT,Republican,https://stewart.house.gov
Kaine,Timothy,Tim Kaine,2/26/1958,M,sen,VA,https://www.kaine.senate.gov,
Kilmer,Derek,Derek Kilmer,1/1/1974,M,rep,WA,Democrat,https://kilmer.house.gov
Heck,Denny,Denny Heck,7/29/1952,M,rep,WA,Democrat,https://dennyheck.house.gov
Pocan,Mark,Mark Pocan,8/14/1964,M,rep,WI,Democrat,https://pocan.house.gov
Kelly,Robin,Robin L. Kelly,4/30/1956,F,rep,IL,Democrat,https://robinkelly.house.gov
Smith,Jason,Jason Smith,6/16/1980,M,rep,MO,Republican,https://jasonsmith.house.gov
Booker,Cory,Cory A. Booker,4/27/1969,M,sen,NJ,https://www.booker.senate.gov,
Clark,Katherine,Katherine M. Clark,7/17/1963,F,rep,MA,Democrat,https://katherineclark.house.gov
Byrne,Bradley,Bradley Byrne,2/16/1955,M,rep,AL,Republican,https://byrne.house.gov
Norcross,Donald,Donald Norcross,12/13/1958,M,rep,NJ,Democrat,https://norcross.house.gov
Adams,Alma,Alma S. Adams,5/27/1946,F,rep,NC,Democrat,https://adams.house.gov
Palmer,Gary,Gary J. Palmer,5/14/1954,M,rep,AL,Republican,https://palmer.house.gov
Hill,French,J. French Hill,12/5/1956,M,rep,AR,Republican,https://hill.house.gov
Westerman,Bruce,Bruce Westerman,11/18/1967,M,rep,AR,Republican,https://westerman.house.gov
Gallego,Ruben,Ruben Gallego,11/20/1979,M,rep,AZ,Democrat,https://rubengallego.house.gov
DeSaulnier,Mark,Mark DeSaulnier,3/31/1952,M,rep,CA,Democrat,https://desaulnier.house.gov
Aguilar,Pete,Pete Aguilar,6/19/1979,M,rep,CA,Democrat,https://aguilar.house.gov
Lieu,Ted,Ted Lieu,3/29/1969,M,rep,CA,Democrat,https://lieu.house.gov
Torres,Norma,Norma J. Torres,4/4/1965,F,rep,CA,Democrat,https://torres.house.gov
Buck,Ken,Ken Buck,2/16/1959,M,rep,CO,Republican,https://buck.house.gov
Carter,Buddy,"Earl L. ""Buddy"" Carter",9/6/1957,M,rep,GA,Republican,https://buddycarter.house.gov
Hice,Jody,Jody B. Hice,4/22/1960,M,rep,GA,Republican,https://hice.house.gov
Loudermilk,Barry,Barry Loudermilk,12/22/1963,M,rep,GA,Republican,https://loudermilk.house.gov
Allen,Rick,Rick W. Allen,11/7/1951,M,rep,GA,Republican,https://allen.house.gov
Bost,Mike,Mike Bost,12/30/1960,M,rep,IL,Republican,https://bost.house.gov
Abraham,Ralph,Ralph Lee Abraham,9/16/1954,M,rep,LA,Republican,https://abraham.house.gov
Graves,Garret,Garret Graves,1/31/1972,M,rep,LA,Republican,https://garretgraves.house.gov
Moulton,Seth,Seth Moulton,10/24/1978,M,rep,MA,Democrat,https://moulton.house.gov
Moolenaar,John,John R. Moolenaar,5/8/1961,M,rep,MI,Republican,https://moolenaar.house.gov
Dingell,Debbie,Debbie Dingell,11/23/1953,F,rep,MI,Democrat,https://debbiedingell.house.gov
Lawrence,Brenda,Brenda L. Lawrence,10/18/1954,F,rep,MI,Democrat,https://lawrence.house.gov
Emmer,Tom,Tom Emmer,3/3/1961,M,rep,MN,Republican,https://emmer.house.gov
Rouzer,David,David Rouzer,2/16/1972,M,rep,NC,Republican,https://rouzer.house.gov
Watson Coleman,Bonnie,Bonnie Watson Coleman,2/6/1945,F,rep,NJ,Democrat,https://watsoncoleman.house.gov
Zeldin,Lee,Lee M. Zeldin,1/30/1980,M,rep,NY,Republican,https://zeldin.house.gov
Rice,Kathleen,Kathleen M. Rice,2/15/1965,F,rep,NY,Democrat,https://kathleenrice.house.gov
Stefanik,Elise,Elise M. Stefanik,7/2/1984,F,rep,NY,Republican,https://stefanik.house.gov
Katko,John,John Katko,11/9/1962,M,rep,NY,Republican,https://katko.house.gov
Boyle,Brendan,Brendan F. Boyle,2/6/1977,M,rep,PA,Democrat,https://boyle.house.gov
Hurd,Will,Will Hurd,8/19/1977,M,rep,TX,Republican,https://hurd.house.gov
Babin,Brian,Brian Babin,3/23/1948,M,rep,TX,Republican,https://babin.house.gov
Beyer,Donald,Donald S. Beyer,6/20/1950,M,rep,VA,Democrat,https://beyer.house.gov
Plaskett,Stacey,Stacey E. Plaskett,5/13/1966,F,rep,VI,Democrat,https://plaskett.house.gov
Newhouse,Dan,Dan Newhouse,7/10/1955,M,rep,WA,Republican,https://newhouse.house.gov
Grothman,Glenn,Glenn Grothman,7/3/1955,M,rep,WI,Republican,https://grothman.house.gov
Mooney,Alex,Alexander X. Mooney,6/5/1971,M,rep,WV,Republican,https://mooney.house.gov
Amata,Aumua,Aumua Amata Coleman Radewagen,12/29/1947,F,rep,AS,Republican,https://radewagen.house.gov
Sullivan,Dan,Dan Sullivan,11/13/1964,M,sen,AK,https://www.sullivan.senate.gov,
Perdue,David,David Perdue,12/10/1949,M,sen,GA,https://www.perdue.senate.gov,
Ernst,Joni,Joni Ernst,7/1/1970,F,sen,IA,https://www.ernst.senate.gov/public,
Tillis,Thom,Thom Tillis,8/30/1960,M,sen,NC,https://www.tillis.senate.gov,
Rounds,Mike,Mike Rounds,10/24/1954,M,sen,SD,https://www.rounds.senate.gov,
Walker,Mark,Mark Walker,5/20/1969,M,rep,NC,Republican,https://walker.house.gov
Sasse,Benjamin,Ben Sasse,2/22/1972,M,sen,NE,https://www.sasse.senate.gov/public,
Kelly,Trent,Trent Kelly,3/1/1966,M,rep,MS,Republican,https://trentkelly.house.gov
LaHood,Darin,Darin LaHood,7/5/1968,M,rep,IL,Republican,https://lahood.house.gov
Davidson,Warren,Warren Davidson,3/1/1970,M,rep,OH,Republican,https://davidson.house.gov
Comer,James,James Comer,8/19/1972,M,rep,KY,Republican,https://comer.house.gov
Evans,Dwight,Dwight Evans,5/16/1954,M,rep,PA,Democrat,https://evans.house.gov
Harris,Kamala,Kamala D. Harris,10/20/1964,F,sen,CA,https://www.harris.senate.gov,
Kennedy,John,John Kennedy,11/21/1951,M,sen,LA,https://www.kennedy.senate.gov/public,
Hassan,Margaret,Margaret Wood Hassan,2/27/1958,F,sen,NH,https://www.hassan.senate.gov,
Cortez Masto,Catherine,Catherine Cortez Masto,3/29/1964,F,sen,NV,https://www.cortezmasto.senate.gov,
Schneider,Bradley,Bradley Scott Schneider,8/20/1961,M,rep,IL,Democrat,https://schneider.house.gov
O’Halleran,Tom,Tom O'Halleran,1/24/1946,M,rep,AZ,Democrat,https://ohalleran.house.gov
Biggs,Andy,Andy Biggs,11/7/1958,M,rep,AZ,Republican,https://biggs.house.gov
Khanna,Ro,Ro Khanna,9/13/1976,M,rep,CA,Democrat,https://khanna.house.gov
Panetta,Jimmy,Jimmy Panetta,10/1/1969,M,rep,CA,Democrat,https://panetta.house.gov
Carbajal,Salud,Salud O. Carbajal,11/18/1964,M,rep,CA,Democrat,https://carbajal.house.gov
Barragán,Nanette,Nanette Diaz Barragán,9/15/1976,F,rep,CA,Democrat,https://barragan.house.gov
Correa,J.,J. Luis Correa,1/24/1958,M,rep,CA,Democrat,https://correa.house.gov
Blunt Rochester,Lisa,Lisa Blunt Rochester,2/10/1962,F,rep,DE,Democrat,https://bluntrochester.house.gov
Gaetz,Matt,Matt Gaetz,5/7/1982,M,rep,FL,Republican,https://gaetz.house.gov
Dunn,Neal,Neal P. Dunn,2/16/1953,M,rep,FL,Republican,https://dunn.house.gov
Rutherford,John,John H. Rutherford,9/2/1952,M,rep,FL,Republican,https://rutherford.house.gov
Lawson,Al,Al Lawson,9/23/1948,M,rep,FL,Democrat,https://lawson.house.gov
Murphy,Stephanie,Stephanie N. Murphy,9/16/1978,F,rep,FL,Democrat,https://murphy.house.gov
Soto,Darren,Darren Soto,2/25/1978,M,rep,FL,Democrat,https://soto.house.gov
Demings,Val,Val Butler Demings,3/12/1957,F,rep,FL,Democrat,https://demings.house.gov
Crist,Charlie,Charlie Crist,7/24/1956,M,rep,FL,Democrat,https://crist.house.gov
Mast,Brian,Brian J. Mast,7/10/1980,M,rep,FL,Republican,https://mast.house.gov
Rooney,Francis,Francis Rooney,12/4/1953,M,rep,FL,Republican,https://francisrooney.house.gov
Ferguson,A.,A. Drew Ferguson IV,11/15/1966,M,rep,GA,Republican,https://ferguson.house.gov
Krishnamoorthi,Raja,Raja Krishnamoorthi,7/19/1973,M,rep,IL,Democrat,https://krishnamoorthi.house.gov
Banks,Jim,Jim Banks,7/16/1979,M,rep,IN,Republican,https://banks.house.gov
Hollingsworth,Trey,Trey Hollingsworth,9/12/1983,M,rep,IN,Republican,https://hollingsworth.house.gov
Marshall,Roger,Roger W. Marshall,8/9/1960,M,rep,KS,Republican,https://marshall.house.gov
Higgins,Clay,Clay Higgins,8/24/1961,M,rep,LA,Republican,https://clayhiggins.house.gov
Johnson,Mike,Mike Johnson,1/30/1972,M,rep,LA,Republican,https://mikejohnson.house.gov
Brown,Anthony,Anthony G. Brown,11/21/1961,M,rep,MD,Democrat,https://anthonybrown.house.gov
Raskin,Jamie,Jamie Raskin,12/13/1962,M,rep,MD,Democrat,https://raskin.house.gov
Bergman,Jack,Jack Bergman,2/2/1947,M,rep,MI,Republican,https://bergman.house.gov
Mitchell,Paul,Paul Mitchell,5/8/1961,M,rep,MI,Independent,https://mitchell.house.gov
Budd,Ted,Ted Budd,10/21/1971,M,rep,NC,Republican,https://budd.house.gov
Bacon,Don,Don Bacon,8/16/1963,M,rep,NE,Republican,https://bacon.house.gov
Gottheimer,Josh,Josh Gottheimer,3/8/1975,M,rep,NJ,Democrat,https://gottheimer.house.gov
Rosen,Jacky,Jacky Rosen,8/2/1957,F,sen,NV,https://www.rosen.senate.gov,
Suozzi,Thomas,Thomas R. Suozzi,8/31/1962,M,rep,NY,Democrat,https://suozzi.house.gov
Espaillat,Adriano,Adriano Espaillat,9/27/1954,M,rep,NY,Democrat,https://espaillat.house.gov
Fitzpatrick,Brian,Brian K. Fitzpatrick,12/17/1973,M,rep,PA,Republican,https://fitzpatrick.house.gov
Smucker,Lloyd,Lloyd Smucker,1/23/1964,M,rep,PA,Republican,https://smucker.house.gov
Gonzalez-Colon,Jenniffer,Jenniffer Gonzalez-Colon,8/5/1976,F,rep,PR,Republican,https://gonzalez-colon.house.gov
Kustoff,David,David Kustoff,10/8/1966,M,rep,TN,Republican,https://kustoff.house.gov
Gonzalez,Vicente,Vicente Gonzalez,9/4/1967,M,rep,TX,Democrat,https://gonzalez.house.gov
Arrington,Jodey,Jodey C. Arrington,3/9/1972,M,rep,TX,Republican,https://arrington.house.gov
McEachin,A.,A. Donald McEachin,10/10/1961,M,rep,VA,Democrat,https://mceachin.house.gov
Jayapal,Pramila,Pramila Jayapal,9/21/1965,F,rep,WA,Democrat,https://jayapal.house.gov
Gallagher,Mike,Mike Gallagher,3/3/1984,M,rep,WI,Republican,https://gallagher.house.gov
Cheney,Liz,Liz Cheney,7/28/1966,F,rep,WY,Republican,https://cheney.house.gov
Estes,Ron,Ron Estes,7/19/1956,M,rep,KS,Republican,https://estes.house.gov
Gianforte,Greg,Greg Gianforte,4/17/1961,M,rep,MT,Republican,https://gianforte.house.gov
Norman,Ralph,Ralph Norman,6/20/1953,M,rep,SC,Republican,https://norman.house.gov
Gomez,Jimmy,Jimmy Gomez,11/25/1974,M,rep,CA,Democrat,https://gomez.house.gov
Curtis,John,John R. Curtis,5/10/1960,M,rep,UT,Republican,https://curtis.house.gov
Jones,Doug,Doug Jones,5/4/1954,M,sen,AL,https://www.jones.senate.gov,
Smith,Tina,Tina Smith,3/4/1958,F,sen,MN,https://www.smith.senate.gov,
Hyde-Smith,Cindy,Cindy Hyde-Smith,5/10/1959,F,sen,MS,https://www.hydesmith.senate.gov,
Lamb,Conor,Conor Lamb,6/27/1984,M,rep,PA,Democrat,https://lamb.house.gov
Lesko,Debbie,Debbie Lesko,11/14/1958,F,rep,AZ,Republican,https://lesko.house.gov
Cloud,Michael,Michael Cloud,5/13/1975,M,rep,TX,Republican,https://cloud.house.gov
Balderson,Troy,Troy Balderson,1/16/1962,M,rep,OH,Republican,https://balderson.house.gov
Hern,Kevin,Kevin Hern,12/4/1961,M,rep,OK,Republican,https://hern.house.gov
Morelle,Joseph,Joseph D. Morelle,4/29/1957,M,rep,NY,Democrat,https://morelle.house.gov
Scanlon,Mary,Mary Gay Scanlon,8/30/1959,F,rep,PA,Democrat,https://scanlon.house.gov
Wild,Susan,Susan Wild,6/7/1957,F,rep,PA,Democrat,https://wild.house.gov
Case,Ed,Ed Case,9/27/1952,M,rep,HI,Democrat,https://case.house.gov
Horsford,Steven,Steven Horsford,4/29/1973,M,rep,NV,Democrat,https://horsford.house.gov
Kirkpatrick,Ann,Ann Kirkpatrick,3/24/1950,F,rep,AZ,Democrat,https://kirkpatrick.house.gov
Stanton,Greg,Greg Stanton,3/8/1970,M,rep,AZ,Democrat,https://stanton.house.gov
Harder,Josh,Josh Harder,8/1/1986,M,rep,CA,Democrat,https://harder.house.gov
Cox,TJ,TJ Cox,7/18/1963,M,rep,CA,Democrat,https://cox.house.gov
Cisneros,Gilbert,Gilbert Ray Cisneros,2/12/1971,M,rep,CA,Democrat,https://cisneros.house.gov
Porter,Katie,Katie Porter,1/3/1974,F,rep,CA,Democrat,https://porter.house.gov
Rouda,Harley,Harley Rouda,12/10/1961,M,rep,CA,Democrat,https://rouda.house.gov
Levin,Mike,Mike Levin,10/28/1978,M,rep,CA,Democrat,https://mikelevin.house.gov
Neguse,Joe,Joe Neguse,5/13/1984,M,rep,CO,Democrat,https://neguse.house.gov
Crow,Jason,Jason Crow,3/15/1979,M,rep,CO,Democrat,https://crow.house.gov
Hayes,Jahana,Jahana Hayes,3/8/1973,F,rep,CT,Democrat,https://hayes.house.gov
Waltz,Michael,Michael Waltz,1/31/1974,M,rep,FL,Republican,https://waltz.house.gov
Spano,Ross,Ross Spano,7/16/1966,M,rep,FL,Republican,https://spano.house.gov
Steube,W.,W. Gregory Steube,5/19/1978,M,rep,FL,Republican,https://steube.house.gov
Mucarsel-Powell,Debbie,Debbie Mucarsel-Powell,1/18/1971,F,rep,FL,Democrat,https://mucarsel-powell.house.gov
Shalala,Donna,Donna E. Shalala,2/14/1941,F,rep,FL,Democrat,https://shalala.house.gov
McBath,Lucy,Lucy McBath,6/1/1960,F,rep,GA,Democrat,https://mcbath.house.gov
San Nicolas,Michael,Michael F. Q. San Nicolas,1/30/1981,M,rep,GU,Democrat,https://sannicolas.house.gov
Finkenauer,Abby,Abby Finkenauer,12/27/1988,F,rep,IA,Democrat,https://finkenauer.house.gov
Axne,Cynthia,Cynthia Axne,4/20/1965,F,rep,IA,Democrat,https://axne.house.gov
Fulcher,Russ,Russ Fulcher,7/19/1973,M,rep,ID,Republican,https://fulcher.house.gov
Garcia,Jesús,Jesus G. Garcia,4/12/1956,M,rep,IL,Democrat,https://chuygarcia.house.gov
Casten,Sean,Sean Casten,11/23/1971,M,rep,IL,Democrat,https://casten.house.gov
Underwood,Lauren,Lauren Underwood,10/4/1986,F,rep,IL,Democrat,https://underwood.house.gov
Baird,James,James R. Baird,6/4/1945,M,rep,IN,Republican,https://baird.house.gov
Pence,Greg,Greg Pence,11/14/1956,M,rep,IN,Republican,https://pence.house.gov
Watkins,Steven,Steve Watkins,9/18/1976,M,rep,KS,Republican,https://watkins.house.gov
Davids,Sharice,Sharice Davids,5/22/1980,F,rep,KS,Democrat,https://davids.house.gov
Trahan,Lori,Lori Trahan,10/27/1973,F,rep,MA,Democrat,https://trahan.house.gov
Pressley,Ayanna,Ayanna Pressley,2/3/1974,F,rep,MA,Democrat,https://pressley.house.gov
Trone,David,David J. Trone,9/21/1955,M,rep,MD,Democrat,https://trone.house.gov
Slotkin,Elissa,Elissa Slotkin,7/10/1976,F,rep,MI,Democrat,https://slotkin.house.gov
Levin,Andy,Andy Levin,8/1/1960,M,rep,MI,Democrat,https://andylevin.house.gov
Stevens,Haley,Haley M. Stevens,6/24/1983,F,rep,MI,Democrat,https://stevens.house.gov
Tlaib,Rashida,Rashida Tlaib,7/24/1976,F,rep,MI,Democrat,https://tlaib.house.gov
Hagedorn,Jim,Jim Hagedorn,8/4/1962,M,rep,MN,Republican,https://hagedorn.house.gov
Craig,Angie,Angie Craig,2/14/1972,F,rep,MN,Democrat,https://craig.house.gov
Phillips,Dean,Dean Phillips,1/20/1969,M,rep,MN,Democrat,https://phillips.house.gov
Omar,Ilhan,Ilhan Omar,10/4/1981,F,rep,MN,Democrat,https://omar.house.gov
Stauber,Pete,Pete Stauber,5/10/1966,M,rep,MN,Republican,https://stauber.house.gov
Guest,Michael,Michael Guest,2/4/1970,M,rep,MS,Republican,https://guest.house.gov
Armstrong,Kelly,Kelly Armstrong,10/8/1976,M,rep,ND,Republican,https://armstrong.house.gov
Pappas,Chris,Chris Pappas,6/4/1980,M,rep,NH,Democrat,https://pappas.house.gov
Van Drew,Jefferson,Jefferson Van Drew,2/23/1953,M,rep,NJ,Republican,https://vandrew.house.gov
Kim,Andy,Andy Kim,7/12/1982,M,rep,NJ,Democrat,https://kim.house.gov
Malinowski,Tom,Tom Malinowski,9/23/1965,M,rep,NJ,Democrat,https://malinowski.house.gov
Sherrill,Mikie,Mikie Sherrill,1/19/1972,F,rep,NJ,Democrat,https://sherrill.house.gov
Haaland,Debra,Debra A. Haaland,12/2/1960,F,rep,NM,Democrat,https://haaland.house.gov
Torres Small,Xochitl,Xochitl Torres Small,11/15/1984,F,rep,NM,Democrat,https://torressmall.house.gov
Lee,Susie,Susie Lee,11/7/1966,F,rep,NV,Democrat,https://susielee.house.gov
Rose,Max,Max Rose,11/28/1986,M,rep,NY,Democrat,https://maxrose.house.gov
Ocasio-Cortez,Alexandria,Alexandria Ocasio-Cortez,10/13/1989,F,rep,NY,Democrat,https://ocasio-cortez.house.gov
Delgado,Antonio,Antonio Delgado,1/19/1977,M,rep,NY,Democrat,https://delgado.house.gov
Brindisi,Anthony,Anthony Brindisi,11/22/1978,M,rep,NY,Democrat,https://brindisi.house.gov
Gonzalez,Anthony,Anthony Gonzalez,9/19/1984,M,rep,OH,Republican,https://anthonygonzalez.house.gov
Horn,Kendra,Kendra S. Horn,6/9/1976,F,rep,OK,Democrat,https://horn.house.gov
Dean,Madeleine,Madeleine Dean,6/6/1959,F,rep,PA,Democrat,https://dean.house.gov
Houlahan,Chrissy,Chrissy Houlahan,6/5/1967,F,rep,PA,Democrat,https://houlahan.house.gov
Meuser,Daniel,Daniel Meuser,2/10/1964,M,rep,PA,Republican,https://meuser.house.gov
Joyce,John,John Joyce,2/8/1957,M,rep,PA,Republican,https://johnjoyce.house.gov
Reschenthaler,Guy,Guy Reschenthaler,4/17/1983,M,rep,PA,Republican,https://reschenthaler.house.gov
Cunningham,Joe,Joe Cunningham,5/26/1982,M,rep,SC,Democrat,https://cunningham.house.gov
Timmons,William,William R. Timmons IV,4/30/1984,M,rep,SC,Republican,https://timmons.house.gov
Johnson,Dusty,Dusty Johnson,9/30/1976,M,rep,SD,Republican,https://dustyjohnson.house.gov
Burchett,Tim,Tim Burchett,8/25/1964,M,rep,TN,Republican,https://burchett.house.gov
Rose,John,John W. Rose,2/23/1965,M,rep,TN,Republican,https://johnrose.house.gov
Green,Mark,Mark E. Green,11/8/1964,M,rep,TN,Republican,https://markgreen.house.gov
Crenshaw,Dan,Dan Crenshaw,3/14/1984,M,rep,TX,Republican,https://crenshaw.house.gov
Taylor,Van,Van Taylor,8/1/1972,M,rep,TX,Republican,https://vantaylor.house.gov
Gooden,Lance,Lance Gooden,12/1/1982,M,rep,TX,Republican,https://gooden.house.gov
Wright,Ron,Ron Wright,4/8/1953,M,rep,TX,Republican,https://wright.house.gov
Fletcher,Lizzie,Lizzie Fletcher,2/13/1975,F,rep,TX,Democrat,https://fletcher.house.gov
Escobar,Veronica,Veronica Escobar,9/15/1969,F,rep,TX,Democrat,https://escobar.house.gov
Roy,Chip,Chip Roy,8/7/1972,M,rep,TX,Republican,https://roy.house.gov
Garcia,Sylvia,Sylvia R. Garcia,9/6/1950,F,rep,TX,Democrat,https://sylviagarcia.house.gov
Allred,Colin,Colin Z. Allred,4/15/1983,M,rep,TX,Democrat,https://allred.house.gov
McAdams,Ben,Ben McAdams,12/5/1974,M,rep,UT,Democrat,https://mcadams.house.gov
Luria,Elaine,Elaine G. Luria,8/15/1975,F,rep,VA,Democrat,https://luria.house.gov
Riggleman,Denver,Denver Riggleman,3/1/1970,M,rep,VA,Republican,https://riggleman.house.gov
Cline,Ben,Ben Cline,2/29/1972,M,rep,VA,Republican,https://cline.house.gov
Spanberger,Abigail,Abigail Davis Spanberger,8/7/1979,F,rep,VA,Democrat,https://spanberger.house.gov
Wexton,Jennifer,Jennifer Wexton,5/27/1968,F,rep,VA,Democrat,https://wexton.house.gov
Schrier,Kim,Kim Schrier,8/23/1968,F,rep,WA,Democrat,https://schrier.house.gov
Steil,Bryan,Bryan Steil,3/30/1981,M,rep,WI,Republican,https://steil.house.gov
Miller,Carol,Carol D. Miller,11/4/1950,F,rep,WV,Republican,https://miller.house.gov
Scott,Rick,Rick Scott,12/1/1952,M,sen,FL,https://www.rickscott.senate.gov,
Braun,Mike,Mike Braun,3/24/1954,M,sen,IN,https://www.braun.senate.gov,
Hawley,Joshua,Josh Hawley,12/31/1979,M,sen,MO,https://www.hawley.senate.gov,
Romney,Mitt,Mitt Romney,3/12/1947,M,sen,UT,https://www.romney.senate.gov,
Golden,Jared,Jared F. Golden,7/25/1982,M,rep,ME,Democrat,https://golden.house.gov
Keller,Fred,Fred Keller,10/23/1965,M,rep,PA,Republican,https://keller.house.gov
Bishop,Dan,Dan Bishop,7/1/1964,M,rep,NC,Republican,https://danbishop.house.gov/
Murphy,Gregory,Gregory F. Murphy,3/5/1963,M,rep,NC,Republican,https://gregmurphy.house.gov/
Loeffler,Kelly,Kelly Loeffler,11/27/1970,F,sen,GA,https://www.loeffler.senate.gov,
Mfume,Kweisi,Kweisi Mfume,10/24/1948,M,rep,MD,Democrat,
Tiffany,Thomas,Thomas P. Tiffany,12/30/1957,M,rep,WI,Republican,
Garcia,Mike,Mike Garcia,4/24/1976,M,rep,CA,Republican,
Jacobs,Chris,Chris Jacobs,11/28/1966,M,rep,NY,Republican,
Kelly,Mark,Mark Kelly,2/21/1964,M,sen,AZ,https://www.kelly.senate.gov,
Hall,Kwanza,Kwanza Hall,5/1/1971,M,rep,GA,Democrat,https://hall.house.gov/
